Centro;cor(fam,TA);cor(pop,TA);ecletic;media pop;prop novid;cor(fam, TA);cor(pop, TA)
Centro 1;-0,05;0,14;0,48;-0,47;1,03;-0,36;0,49
Centro 2;-0,9;0,59;-0,08;-1,64;-0,61;-0,58;0,43
Centro 3;-0,81;-0,87;-0,07;0,17;-0,41;0,19;-0,19
Centro 4;0,04;-0,02;1,52;-0,39;-0,32;-0,51;0,06
Centro 5;-0,05;0,32;-0,21;0,52;-0,32;-0,57;-0,52
Centro 6;0,52;0;-0,72;0,72;0,3;1,03;0,56
Centro 7*;0,88;-0,64;-0,48;-0,73;-0,47;-0,11;-0,34
Centro 8;-0,04;-0,02;-0,47;0,28;1,35;0,21;-0,75
Centro 9;-1,18;0,59;-0,61;0,39;-0,17;0,68;0,4
Centro 10;0,77;1,18;0,15;0,42;-0,66;-0,14;0,53
Centro 11**;1,1;-1,26;-0,63;-0,21;-0,45;0,55;-1,25
