"","cluster","variable","value"
"1","1","familiaridade",-0.0191444845861854
"7","1","popularidade",0.0784570666957128
"2","2","familiaridade",0.0569892947304161
"8","2","popularidade",0.35351807205317
"3","3","familiaridade",-0.346727566832467
"9","3","popularidade",-0.292140950714277
"4","4","familiaridade",0.0490559703358587
"10","4","popularidade",-0.186648315875861
"5","5","familiaridade",-0.312051649593313
"11","5","popularidade",0.0629102851517376
"6","6","familiaridade",-0.154747641821598
"12","6","popularidade",-0.148670162210795
